row_id,country,code,year,Ratio_LFP_F_M,Wage_Gap,Women_Parliament,Women_Ministers,Female_Management,Business_reg
1,Argentina,ARG,2010,65.04760345909378,-1.849,38.5214007782101,20.0,32.139,1.0
2,Argentina,ARG,2011,64.81075966477427,1.377,37.3540856031128,,30.155,1.0
3,Argentina,ARG,2012,65.59693139315843,-0.865,37.3540856031128,17.6,32.343,1.0
4,Argentina,ARG,2013,65.39512154946398,1.031,36.5758754863813,,36.492,1.0
5,Argentina,ARG,2014,65.85193106225783,-0.466,36.5758754863813,17.6,38.637,1.0
6,Argentina,ARG,2015,66.45121575869499,,,22.2,,1.0
7,Argentina,ARG,2016,67.0660201837966,,35.7976653696498,17.4,,1.0
8,Argentina,ARG,2017,67.69392450364984,-0.897,38.1322957198444,,32.629,1.0
9,Argentina,ARG,2018,69.74427383418954,1.532,38.9105058365759,25.0,33.178,1.0
10,Argentina,ARG,2019,70.44138572293994,-0.383,40.1574803149606,22.727,33.136,1.0
11,Argentina,ARG,2020,70.51346226772847,-0.138,40.8560311284047,18.182,36.984,1.0
12,Argentina,ARG,2021,70.9526229600768,1.381,44.7470817120623,,37.36,1.0
13,Argentina,ARG,2022,72.59037409206051,-0.049,44.7470817120623,22.222,37.91,1.0
14,Argentina,ARG,2023,73.60864005337484,1.42,43.1906614785992,33.333,37.982,1.0
15,Argentina,ARG,2024,73.72870732760423,5.941,42.4124513618677,25.0,36.39,
16,Austria,AUT,2010,80.60580563735802,,27.8688524590164,38.5,25.422,1.0
17,Austria,AUT,2011,81.3604826546003,,27.8688524590164,,26.074,1.0
18,Austria,AUT,2012,82.04023205002638,,27.8688524590164,46.2,27.132,1.0
19,Austria,AUT,2013,82.41097788757004,,33.3333333333333,,26.329,1.0
20,Austria,AUT,2014,83.07367910074178,,32.2404371584699,30.8,27.848,1.0
21,Austria,AUT,2015,83.16193423128261,,30.6010928961749,30.8,27.876,1.0
22,Austria,AUT,2016,83.45999577791852,,30.6010928961749,23.1,29.517,1.0
23,Austria,AUT,2017,83.55775617414407,,34.4262295081967,,29.191,1.0
24,Austria,AUT,2018,83.11988242704177,20.39,34.4262295081967,38.5,28.858,1.0
25,Austria,AUT,2019,83.42450108199088,,39.344262295082,57.143,32.009,1.0
26,Austria,AUT,2020,83.99087452471483,,39.344262295082,57.143,31.467,1.0
27,Austria,AUT,2021,83.65450011335298,,40.4371584699454,,34.309,1.0
28,Austria,AUT,2022,83.96230682246514,,40.9836065573771,25.0,31.527,1.0
29,Austria,AUT,2023,84.39739906245275,,40.9836065573771,25.0,33.793,1.0
30,Austria,AUT,2024,84.40477094887184,,36.0655737704918,25.0,,
31,Bosnia and Herzegovina,BIH,2010,63.20864166562148,2.55,16.6666666666667,0.0,30.164,1.0
32,Bosnia and Herzegovina,BIH,2011,63.0286001318557,-6.651,21.4285714285714,,22.598,1.0
33,Bosnia and Herzegovina,BIH,2012,62.77773403669001,-1.295,21.4285714285714,6.3,23.028,1.0
34,Bosnia and Herzegovina,BIH,2013,62.729787402197104,4.122,21.4285714285714,,21.416,1.0
35,Bosnia and Herzegovina,BIH,2014,62.63734518894887,7.896,21.4285714285714,0.0,24.157,1.0
36,Bosnia and Herzegovina,BIH,2015,62.75432106639454,-6.237,21.4285714285714,0.0,24.184,1.0
37,Bosnia and Herzegovina,BIH,2016,62.82318264825554,8.405,21.4285714285714,22.2,18.782,1.0
38,Bosnia and Herzegovina,BIH,2017,62.92592592592592,,21.4285714285714,,18.83,1.0
39,Bosnia and Herzegovina,BIH,2018,63.0637346254193,,21.4285714285714,22.2,26.118,1.0
40,Bosnia and Herzegovina,BIH,2019,63.15076320300384,,21.4285714285714,22.222,25.43,1.0
41,Bosnia and Herzegovina,BIH,2020,62.81439294179616,19.989,26.1904761904762,18.75,24.89,1.0
42,Bosnia and Herzegovina,BIH,2021,63.40018156309317,8.631,26.1904761904762,,20.175,1.0
43,Bosnia and Herzegovina,BIH,2022,63.70173234594022,9.808,16.6666666666667,11.111,24.09,1.0
44,Bosnia and Herzegovina,BIH,2023,65.20907216494845,10.488,19.0476190476191,11.111,27.898,1.0
45,Bosnia and Herzegovina,BIH,2024,65.34135149015125,,19.047619047619,11.111,,
46,Bolivia,BOL,2010,72.95878349315588,,25.3846153846154,20.0,,1.0
47,Bolivia,BOL,2011,72.9979322855222,,25.3846153846154,,35.552,1.0
48,Bolivia,BOL,2012,73.03822425745723,,25.3846153846154,45.5,32.028,1.0
49,Bolivia,BOL,2013,73.08094594249853,,25.3846153846154,,31.091,1.0
50,Bolivia,BOL,2014,73.12671083936657,,53.0769230769231,33.3,35.462,1.0
51,Bolivia,BOL,2015,73.17273403627594,,53.0769230769231,28.6,34.447,1.0
52,Bolivia,BOL,2016,73.22184344246479,,53.0769230769231,27.3,29.992,1.0
53,Bolivia,BOL,2017,75.68079685559553,,53.0769230769231,,26.753,1.0
54,Bolivia,BOL,2018,79.44676383090423,,53.0769230769231,14.3,30.443,1.0
55,Bolivia,BOL,2019,80.73786975757797,,53.0769230769231,25.0,28.492,1.0
56,Bolivia,BOL,2020,81.83939310757866,,46.1538461538462,22.222,30.929,1.0
57,Bolivia,BOL,2021,84.03562094208641,3.371,46.1538461538462,,28.556,1.0
58,Bolivia,BOL,2022,84.49565821875036,5.993,46.1538461538462,12.5,29.98,1.0
